,train,val,test
94,#62-2 7816-B2200-FP3F,,
95,#64-1 7815-B313-C,,
96,#72-1 7816-B3551-1H,,
97,#72-2 7816-B3551-1M,,
98,#72-3 7816-B3551-1G,,
99,#2-1 7817B11902,,
100,#2-2 7817B11902,,
101,#2-3 7817B11902,,
102,#3-1 B-20-00998,,
103,#3-2 B-20-00998,,
104,#3-3 B-20-00998,,
105,#8-1 5263-19,,
106,#8-2 5263-19,,
107,#8-3 5263-19,,
108,#9-1 14710-16-046,,
109,#9-2 14710-16-045,,
110,#9-3 14710-16-037,,
111,#10-1 1164-17,,
112,#10-2 1164-17,,
113,#10-3 1164-17,,
114,#17-1 11670-18,,
115,#17-2 11670-18-025,,
116,#17-3 11670-18-009,,
117,#19-1 6709-19-052,,
118,#19-2 6709-19,,
119,#19-3 6709-19-053,,
120,#24-1 2805-15,,
121,#24-2 2805-15,,
122,#24-3 2805-15,,
123,#25-1 B-19-03893-A10,,
124,#25-2 B-19-03893-A11,,
125,#25-3 B-19-03893-A14,,
126,#25-4 B-19-03893-A16,,
127,#25-5 B-19-03893-A15,,
128,#25-6 B-19-03893-A8,,
129,#25-7 B-19-03893-A7,,
130,#25-8 B-19-03893-A5,,
131,#31-1 B-18-02412,,
132,#31-2 B-18-02412,,
133,#31-3 B-18-02412,,
134,#34-1 7818B5025,,
135,#34-2 7818B5025,,
136,#34-3 7818B5025,,
137,#36-1 B20-02954-F15,,
138,#36-2 B20-02954-F16,,
139,#36-3 B20-02954-F18,,
140,#36-4 B20-02954-F20,,
141,#36-5 B20-02954-F19,,
142,#36-6 B20-02954-F17,,
143,#36-7 B20-02954-F13,,
144,#36-8 B20-02954-F10,,
145,#39-1 B22-01428-A13,,
146,#39-2 B22-01428-A19,,
147,#39-3 B22-01428-A20,,
148,#42-1 B22-10323-B12,,
149,#42-2 B22-10323-B14,,
150,#42-3 B22-10323-B15,,
151,#43-1 B23-00682-A5,,
152,#43-2 B23-00682-A7,,
153,#43-3 B23-00682-A8,,
154,#43-4 B23-00682-A10,,
155,#43-5 B23-00682-A9,,
156,#43-6 B23-00682-A3,,
157,#43-7 B23-00682-A2,,
158,#46-1 B24-03425-A4,,
159,#46-2 B24-03425-A5,,
160,#46-3 B24-03425-A6,,
161,#46-4 B24-03425-A7,,
162,#46-5 B24-03425-A8,,
163,#47-1 B25-04665-A4,,
164,#47-2 B25-04665-A6,,
165,#47-3 B25-04665-A8,,
166,#47-4 B25-04665-A7,,
167,#47-5 B25-04665-A5,,
168,#49-1 7815-B7463-1F,,
169,#49-2 7815-B7463-1H,,
170,#49-3 7815-B7463-1K,,
171,#49-4 7815-B7463-1I,,
172,#49-5 7815-B7463-1J,,
173,#49-6 7815-B7463-1E,,
174,#52-1 B21-09631-A3,,
175,#52-2 B21-09631-A4,,
176,#52-3 B21-09631-A6,,
177,#55-1 B19-05880-B11,,
178,#55-2 B19-05880-B13,,
179,#59-1 B-20-00097-A4,,
180,#59-2 B-20-00097-A8,,
181,#59-3 B-20-00097-A2,,
182,#60-1 7816-B1788-1A,,
183,#60-2 7816-B1788-1B,,
184,#60-3 7816-B1788-1D,,
185,#65-1 7815-B5776-E,,
186,#67-1 B19-07597-A4,,
187,#68-1 B18-00886-A9,,
188,#68-2 B18-00886-A10,,
189,#68-3 B18-00886-A5,,
190,#68-4 B18-00886-A7,,
191,#68-5 B18-00886-A8,,
192,#68-6 B18-00886-A6,,
193,#70-1 B22-00299-A4,,
194,#70-2 B22-00299-A17,,
195,#70-3 B22-00299-A7,,
196,#70-4 B22-00299-A5,,
197,#70-5 B22-00299-A13,,
198,#71-1 7816-B2508-1F,,
199,#71-2 7816-B2508-1H,,
200,#71-3 7816-B2508-1I,,
