train,val,test
#32-3 B-19-08670-A10,,
#32-4 B-19-08670-A7,,
#33-1 7817B9793,,
#33-2 7817B9793,,
#33-3 7817B9793,,
#34-1 7818B5025,,
#34-2 7818B5025,,
#34-3 7818B5025,,
#37-1 B-20-03357-B13,,
#37-2 B-20-03357-B14,,
#37-3 B-20-03357-B17,,
#37-4 B-20-03357-B15,,
#37-5 B-20-03357-B12,,
#37-6 B-20-03357-B11,,
#37-7 B-20-03357-B10,,
#37-8 B-20-03357-B9,,
#39-1 B22-01428-A13,,
#39-2 B22-01428-A19,,
#39-3 B22-01428-A20,,
#42-1 B22-10323-B12,,
#42-2 B22-10323-B14,,
#42-3 B22-10323-B15,,
#43-1 B23-00682-A5,,
#43-2 B23-00682-A7,,
#43-3 B23-00682-A8,,
#43-4 B23-00682-A10,,
#43-5 B23-00682-A9,,
#43-6 B23-00682-A3,,
#43-7 B23-00682-A2,,
#45-1 B23-11889-A6,,
#45-2 B23-11889-A7,,
#45-3 B23-11889-A8,,
#45-4 B23-11889-A5,,
#46-1 B24-03425-A4,,
#46-2 B24-03425-A5,,
#46-3 B24-03425-A6,,
#46-4 B24-03425-A7,,
#46-5 B24-03425-A8,,
#47-1 B25-04665-A4,,
#47-2 B25-04665-A6,,
#47-3 B25-04665-A8,,
#47-4 B25-04665-A7,,
#47-5 B25-04665-A5,,
#48-1 7815-B3143-1E,,
#48-2 7815-B3143-1H,,
#48-3 7815-B3143-1L,,
#48-4 7815-B3143-1G,,
#49-1 7815-B7463-1F,,
#49-2 7815-B7463-1H,,
#49-3 7815-B7463-1K,,
#49-4 7815-B7463-1I,,
#49-5 7815-B7463-1J,,
#49-6 7815-B7463-1E,,
#50-1 B25-06910-A10,,
#50-2 B25-06910-A15,,
#50-3 B25-06910-A16,,
#51-1 B-22-05617-A5,,
#51-2 B-22-05617-A8,,
#52-1 B21-09631-A3,,
#52-2 B21-09631-A4,,
#52-3 B21-09631-A6,,
#53-1 7815-B4257-H,,
#53-2 7815-B4257-G,,
#54-1 B-19-02542-A2,,
#54-2 B-19-02542-A4,,
#55-1 B19-05880-B11,,
#55-2 B19-05880-B13,,
#56-1 B-20-03470-A5,,
#56-2 B-20-03470-A6,,
#57-1 B21-07861-A5,,
#57-2 B21-07861-A6,,
#57-3 B21-07861-A4,,
#58-1 B19-08189-C5,,
#58-2 B19-08189-C6,,
#59-1 B-20-00097-A4,,
#59-2 B-20-00097-A8,,
#59-3 B-20-00097-A2,,
#60-1 7816-B1788-1A,,
#60-2 7816-B1788-1B,,
#60-3 7816-B1788-1D,,
#61-1 7816-B2200-1A,,
#61-2 7816-B2200-1B,,
#61-3 7816-B2200-FP1B,,
#62-1 7816-B2200-3A,,
#62-2 7816-B2200-FP3F,,
#63-1 7816-B2245-D,,
#63-2 7816-B2245-E,,
#64-1 7815-B313-C,,
#65-1 7815-B5776-E,,
#66-1 7815-B9613-A,,
#67-1 B19-07597-A4,,
#68-1 B18-00886-A9,,
#68-2 B18-00886-A10,,
#68-3 B18-00886-A5,,
#68-4 B18-00886-A7,,
#68-5 B18-00886-A8,,
#68-6 B18-00886-A6,,
#70-1 B22-00299-A4,,
#70-2 B22-00299-A17,,
#70-3 B22-00299-A7,,
#70-4 B22-00299-A5,,
#70-5 B22-00299-A13,,
#73-1 B-21-02803-A5,,
#73-2 B-21-02803-A6,,
#73-3 B-21-02803-A10,,
