train,val,test
#16-4 B-18-03270-A13,,#47-1 B25-04665-A4
#17-1 11670-18,,#47-2 B25-04665-A6
#17-2 11670-18-025,,#47-3 B25-04665-A8
#17-3 11670-18-009,,#50-1 B25-06910-A10
#19-1 6709-19-052,,#50-2 B25-06910-A15
#19-2 6709-19,,#50-3 B25-06910-A16
#19-3 6709-19-053,,#57-1 B21-07861-A5
#20-1 14877-13,,#57-2 B21-07861-A6
#20-2 14877-13-055,,#57-3 B21-07861-A4
#20-3 14877-13,,#59-1 B-20-00097-A4
#21-1 15997-13,,#59-2 B-20-00097-A8
#21-2 15997-13-061,,#59-3 B-20-00097-A2
#21-3 15997-13-059,,#72-1 7816-B3551-1H
#22-1 16293-13-062,,#72-2 7816-B3551-1M
#22-2 16293-13,,#72-3 7816-B3551-1G
#22-3 16293-13,,
#23-1 650-15,,
#23-2 650-15-004,,
#23-3 650-15-013,,
#25-1 B-19-03893-A10,,
#25-2 B-19-03893-A11,,
#25-3 B-19-03893-A14,,
#25-4 B-19-03893-A16,,
#25-5 B-19-03893-A15,,
#25-6 B-19-03893-A8,,
#25-7 B-19-03893-A7,,
#25-8 B-19-03893-A5,,
#27-1 4646-16,,
#27-2 4646-16,,
#27-3 4646-16,,
#29-1 7253-16-047,,
#29-2 7253-16-092,,
#29-3 7253-16-093,,
#34-1 7818B5025,,
#34-2 7818B5025,,
#34-3 7818B5025,,
#35-1 B-19-09233-A5,,
#35-2 B-19-09233-A9,,
#35-3 B-19-09233-A10,,
#36-1 B20-02954-F15,,
#36-2 B20-02954-F16,,
#36-3 B20-02954-F18,,
#36-4 B20-02954-F20,,
#36-5 B20-02954-F19,,
#36-6 B20-02954-F17,,
#36-7 B20-02954-F13,,
#36-8 B20-02954-F10,,
#37-1 B-20-03357-B13,,
#37-2 B-20-03357-B14,,
#37-3 B-20-03357-B17,,
#37-4 B-20-03357-B15,,
#37-5 B-20-03357-B12,,
#37-6 B-20-03357-B11,,
#37-7 B-20-03357-B10,,
#37-8 B-20-03357-B9,,
#38-1 B21-12017-A8,,
#38-2 B21-12017-A10,,
#38-3 B21-12017-A11,,
#39-1 B22-01428-A13,,
#39-2 B22-01428-A19,,
#39-3 B22-01428-A20,,
#40-1 B22-04307-A2,,
#40-2 B22-04307-A4,,
#40-3 B22-04307-A5,,
#41-1 B23-02852-A25,,
#41-2 B23-02852-A27,,
#41-3 B23-02852-A30,,
#41-4 B23-02852-A32,,
#41-5 B23-02852-A24,,
#42-1 B22-10323-B12,,
#42-2 B22-10323-B14,,
#42-3 B22-10323-B15,,
#45-1 B23-11889-A6,,
#45-2 B23-11889-A7,,
#45-3 B23-11889-A8,,
#45-4 B23-11889-A5,,
#46-1 B24-03425-A4,,
#46-2 B24-03425-A5,,
#46-3 B24-03425-A6,,
#46-4 B24-03425-A7,,
#46-5 B24-03425-A8,,
#48-1 7815-B3143-1E,,
#48-2 7815-B3143-1H,,
#48-3 7815-B3143-1L,,
#48-4 7815-B3143-1G,,
#49-1 7815-B7463-1F,,
#49-2 7815-B7463-1H,,
#49-3 7815-B7463-1K,,
#49-4 7815-B7463-1I,,
#49-5 7815-B7463-1J,,
#49-6 7815-B7463-1E,,
#51-1 B-22-05617-A5,,
#51-2 B-22-05617-A8,,
#52-1 B21-09631-A3,,
#52-2 B21-09631-A4,,
#52-3 B21-09631-A6,,
#53-1 7815-B4257-H,,
#53-2 7815-B4257-G,,
#54-1 B-19-02542-A2,,
#54-2 B-19-02542-A4,,
#55-1 B19-05880-B11,,
#55-2 B19-05880-B13,,
#56-1 B-20-03470-A5,,
#56-2 B-20-03470-A6,,
#58-1 B19-08189-C5,,
#58-2 B19-08189-C6,,
#61-1 7816-B2200-1A,,
#61-2 7816-B2200-1B,,
#61-3 7816-B2200-FP1B,,
#62-1 7816-B2200-3A,,
#62-2 7816-B2200-FP3F,,
#63-1 7816-B2245-D,,
#63-2 7816-B2245-E,,
#64-1 7815-B313-C,,
#65-1 7815-B5776-E,,
#66-1 7815-B9613-A,,
#67-1 B19-07597-A4,,
#69-1 B18-02249-A21,,
#69-2 B18-02249-A18,,
#69-3 B18-02249-A11,,
#69-4 B18-02249-A14,,
#69-5 B18-02249-A17,,
#69-6 B18-02249-A19,,
#69-7 B18-02249-A20,,
#69-8 B18-02249-A22,,
#71-1 7816-B2508-1F,,
#71-2 7816-B2508-1H,,
#71-3 7816-B2508-1I,,
#73-1 B-21-02803-A5,,
#73-2 B-21-02803-A6,,
#73-3 B-21-02803-A10,,
